"Time [ms]","Size [B]","Used [B]"
"2:45:58.464 PM, Sep 25, 2022","100,663,328","21,599,088"
"2:45:59.464 PM, Sep 25, 2022","100,663,328","21,599,088"
"2:46:00.464 PM, Sep 25, 2022","100,663,328","21,599,088"
"2:46:01.465 PM, Sep 25, 2022","100,663,328","21,599,088"
"2:46:02.465 PM, Sep 25, 2022","100,663,328","21,599,088"
"2:46:03.465 PM, Sep 25, 2022","364,904,480","68,314,616"
"2:46:04.465 PM, Sep 25, 2022","364,904,480","68,314,616"
"2:46:05.465 PM, Sep 25, 2022","364,904,480","68,314,616"
"2:46:06.466 PM, Sep 25, 2022","364,904,480","68,314,616"
"2:46:07.466 PM, Sep 25, 2022","364,904,480","68,314,616"
"2:46:08.466 PM, Sep 25, 2022","125,829,152","21,595,480"
"2:46:09.466 PM, Sep 25, 2022","125,829,152","21,595,480"
"2:46:10.467 PM, Sep 25, 2022","125,829,152","21,595,480"
"2:46:11.467 PM, Sep 25, 2022","125,829,152","21,595,480"
"2:46:12.467 PM, Sep 25, 2022","125,829,152","21,595,480"
"2:46:13.467 PM, Sep 25, 2022","125,829,152","21,595,480"
"2:46:14.468 PM, Sep 25, 2022","125,829,152","21,595,480"
"2:46:15.468 PM, Sep 25, 2022","125,829,152","21,595,480"
"2:46:16.468 PM, Sep 25, 2022","125,829,152","21,595,480"
"2:46:17.469 PM, Sep 25, 2022","125,829,152","21,595,480"
"2:46:18.469 PM, Sep 25, 2022","125,829,152","21,595,480"
"2:46:19.469 PM, Sep 25, 2022","125,829,152","21,595,480"
"2:46:20.469 PM, Sep 25, 2022","125,829,152","21,595,480"
"2:46:21.470 PM, Sep 25, 2022","125,829,152","21,595,480"
"2:46:22.470 PM, Sep 25, 2022","125,829,152","21,595,480"
"2:46:23.470 PM, Sep 25, 2022","134,217,760","64,099,168"
"2:46:24.471 PM, Sep 25, 2022","134,217,760","64,099,168"
"2:46:25.471 PM, Sep 25, 2022","134,217,760","64,099,168"
"2:46:26.471 PM, Sep 25, 2022","134,217,760","64,099,168"
"2:46:27.471 PM, Sep 25, 2022","134,217,760","64,099,168"
"2:46:28.472 PM, Sep 25, 2022","134,217,760","64,099,168"
"2:46:29.472 PM, Sep 25, 2022","100,663,328","21,595,776"
"2:46:30.472 PM, Sep 25, 2022","100,663,328","21,595,776"
"2:46:31.472 PM, Sep 25, 2022","100,663,328","21,595,776"
"2:46:32.473 PM, Sep 25, 2022","100,663,328","21,595,776"
"2:46:33.473 PM, Sep 25, 2022","100,663,328","21,595,776"
"2:46:34.473 PM, Sep 25, 2022","100,663,328","21,595,776"
"2:46:35.474 PM, Sep 25, 2022","100,663,328","21,595,776"
"2:46:36.474 PM, Sep 25, 2022","100,663,328","21,595,776"
"2:46:37.474 PM, Sep 25, 2022","100,663,328","21,595,776"
"2:46:38.474 PM, Sep 25, 2022","100,663,328","21,595,776"
"2:46:39.475 PM, Sep 25, 2022","100,663,328","21,595,776"
"2:46:40.475 PM, Sep 25, 2022","100,663,328","21,595,776"
"2:46:41.475 PM, Sep 25, 2022","100,663,328","21,595,776"
"2:46:42.476 PM, Sep 25, 2022","100,663,328","21,595,776"
"2:46:43.476 PM, Sep 25, 2022","784,334,880","215,257,248"
"2:46:44.476 PM, Sep 25, 2022","2,122,317,856","1,037,345,968"
"2:46:45.476 PM, Sep 25, 2022","2,122,317,856","1,037,345,968"
"2:46:46.477 PM, Sep 25, 2022","2,122,317,856","1,037,345,968"
"2:46:47.477 PM, Sep 25, 2022","2,122,317,856","1,037,345,968"
"2:46:48.477 PM, Sep 25, 2022","2,122,317,856","1,037,345,968"
"2:46:49.477 PM, Sep 25, 2022","113,246,240","21,595,960"
"2:46:50.477 PM, Sep 25, 2022","113,246,240","21,595,960"
"2:46:51.478 PM, Sep 25, 2022","113,246,240","21,595,960"
"2:46:52.478 PM, Sep 25, 2022","113,246,240","21,595,960"
"2:46:53.478 PM, Sep 25, 2022","113,246,240","21,595,960"
"2:46:54.478 PM, Sep 25, 2022","113,246,240","21,595,960"
"2:46:55.478 PM, Sep 25, 2022","113,246,240","21,595,960"
"2:46:56.479 PM, Sep 25, 2022","113,246,240","21,595,960"
"2:46:57.479 PM, Sep 25, 2022","113,246,240","21,595,960"
"2:46:58.479 PM, Sep 25, 2022","113,246,240","21,595,960"
"2:46:59.480 PM, Sep 25, 2022","113,246,240","21,595,960"
"2:47:00.480 PM, Sep 25, 2022","113,246,240","21,595,960"
