"Time [ms]","Size [B]","Used [B]"
"2:58:02.662 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:03.662 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:04.663 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:05.663 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:06.663 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:07.663 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:08.664 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:09.664 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:10.664 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:11.664 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:12.665 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:13.665 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:14.665 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:15.665 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:16.665 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:17.666 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:18.666 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:19.666 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:20.666 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:21.667 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:22.667 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:23.667 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:24.667 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:25.667 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:26.668 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:27.668 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:28.668 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:29.668 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:30.669 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:31.669 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:32.669 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:33.669 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:34.670 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:35.670 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:36.670 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:37.670 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:38.671 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:39.671 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:40.671 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:41.671 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:42.671 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:43.672 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:44.672 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:45.672 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:46.672 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:47.673 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:48.673 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:49.673 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:50.673 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:51.673 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:52.674 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:53.674 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:54.674 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:55.674 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:56.675 PM, Sep 25, 2022","58,720,288","9,194,912"
"2:58:57.675 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:58:58.675 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:58:59.675 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:59:00.675 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:59:01.676 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:59:02.676 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:59:03.676 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:59:04.676 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:59:05.677 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:59:06.677 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:59:07.677 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:59:08.677 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:59:09.678 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:59:10.678 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:59:11.678 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:59:12.679 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:59:13.679 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:59:14.679 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:59:15.679 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:59:16.679 PM, Sep 25, 2022","58,720,288","9,186,376"
"2:59:17.680 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:18.680 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:19.680 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:20.680 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:21.681 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:22.681 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:23.681 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:24.681 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:25.682 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:26.682 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:27.682 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:28.682 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:29.682 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:30.683 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:31.683 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:32.683 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:33.683 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:34.683 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:35.684 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:36.684 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:37.684 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:38.684 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:39.685 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:40.685 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:41.685 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:42.685 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:43.686 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:44.686 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:45.686 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:46.686 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:47.686 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:48.687 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:49.687 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:50.687 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:51.687 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:52.688 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:53.688 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:54.688 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:55.688 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:56.689 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:57.689 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:58.689 PM, Sep 25, 2022","58,720,288","9,204,304"
"2:59:59.690 PM, Sep 25, 2022","58,720,288","9,204,304"
"3:00:00.690 PM, Sep 25, 2022","58,720,288","9,204,304"
"3:00:01.690 PM, Sep 25, 2022","58,720,288","9,204,304"
"3:00:02.690 PM, Sep 25, 2022","58,720,288","9,204,304"
"3:00:03.691 PM, Sep 25, 2022","58,720,288","9,204,304"
"3:00:04.691 PM, Sep 25, 2022","58,720,288","9,204,304"
"3:00:05.691 PM, Sep 25, 2022","58,720,288","9,204,304"
"3:00:06.691 PM, Sep 25, 2022","58,720,288","9,204,304"
"3:00:07.691 PM, Sep 25, 2022","58,720,288","9,204,304"
"3:00:08.692 PM, Sep 25, 2022","58,720,288","9,204,304"
"3:00:09.692 PM, Sep 25, 2022","58,720,288","9,204,304"
"3:00:10.692 PM, Sep 25, 2022","58,720,288","9,204,304"
"3:00:11.692 PM, Sep 25, 2022","58,720,288","9,204,304"
"3:00:12.693 PM, Sep 25, 2022","58,720,288","9,204,304"
"3:00:13.693 PM, Sep 25, 2022","58,720,288","9,204,304"
"3:00:14.693 PM, Sep 25, 2022","58,720,288","9,204,304"
"3:00:15.694 PM, Sep 25, 2022","58,720,288","9,204,304"
"3:00:16.694 PM, Sep 25, 2022","58,720,288","9,204,304"
"3:00:17.694 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:18.694 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:19.695 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:20.695 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:21.695 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:22.695 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:23.696 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:24.696 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:25.696 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:26.697 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:27.697 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:28.697 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:29.697 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:30.698 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:31.698 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:32.698 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:33.699 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:34.699 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:35.699 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:36.700 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:37.700 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:38.700 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:39.700 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:40.701 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:41.701 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:42.701 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:43.701 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:44.702 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:45.702 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:46.702 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:47.703 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:48.703 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:49.703 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:50.704 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:51.704 PM, Sep 25, 2022","58,720,288","13,381,048"
"3:00:52.704 PM, Sep 25, 2022","58,720,288","13,381,048"
"3:00:53.704 PM, Sep 25, 2022","58,720,288","13,381,048"
"3:00:54.705 PM, Sep 25, 2022","58,720,288","13,381,048"
"3:00:55.705 PM, Sep 25, 2022","58,720,288","13,381,048"
"3:00:56.705 PM, Sep 25, 2022","58,720,288","13,381,048"
"3:00:57.706 PM, Sep 25, 2022","58,720,288","13,381,048"
"3:00:58.706 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:00:59.706 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:01:00.706 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:01:01.707 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:01:02.707 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:01:03.707 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:01:04.707 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:01:05.708 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:01:06.708 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:01:07.708 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:01:08.708 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:01:09.709 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:01:10.709 PM, Sep 25, 2022","58,720,288","9,186,744"
"3:01:11.709 PM, Sep 25, 2022","58,720,288","13,381,048"
"3:01:12.709 PM, Sep 25, 2022","58,720,288","13,381,048"
"3:01:13.710 PM, Sep 25, 2022","58,720,288","13,381,048"
"3:01:14.710 PM, Sep 25, 2022","58,720,288","13,381,048"
"3:01:15.710 PM, Sep 25, 2022","58,720,288","13,381,048"
"3:01:16.710 PM, Sep 25, 2022","58,720,288","13,381,048"
"3:01:17.711 PM, Sep 25, 2022","58,720,288","9,181,696"
"3:01:18.711 PM, Sep 25, 2022","58,720,288","9,181,696"
"3:01:19.711 PM, Sep 25, 2022","58,720,288","9,181,696"
"3:01:20.712 PM, Sep 25, 2022","58,720,288","9,181,696"
"3:01:21.712 PM, Sep 25, 2022","58,720,288","9,181,696"
"3:01:22.712 PM, Sep 25, 2022","58,720,288","9,181,696"
"3:01:23.712 PM, Sep 25, 2022","58,720,288","9,181,696"
"3:01:24.713 PM, Sep 25, 2022","58,720,288","9,181,696"
"3:01:25.713 PM, Sep 25, 2022","58,720,288","9,181,696"
"3:01:26.713 PM, Sep 25, 2022","58,720,288","9,181,696"
"3:01:27.713 PM, Sep 25, 2022","58,720,288","9,181,696"
"3:01:28.714 PM, Sep 25, 2022","58,720,288","9,181,696"
"3:01:29.714 PM, Sep 25, 2022","58,720,288","9,181,696"
"3:01:30.714 PM, Sep 25, 2022","58,720,288","9,181,696"
"3:01:31.714 PM, Sep 25, 2022","58,720,288","13,376,000"
"3:01:32.715 PM, Sep 25, 2022","58,720,288","13,376,000"
"3:01:33.715 PM, Sep 25, 2022","58,720,288","13,376,000"
"3:01:34.715 PM, Sep 25, 2022","58,720,288","13,376,000"
"3:01:35.715 PM, Sep 25, 2022","58,720,288","13,376,000"
"3:01:36.716 PM, Sep 25, 2022","58,720,288","13,376,000"
"3:01:37.716 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:01:38.716 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:01:39.717 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:01:40.717 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:01:41.717 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:01:42.717 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:01:43.718 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:01:44.718 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:01:45.718 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:01:46.719 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:01:47.719 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:01:48.719 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:01:49.720 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:01:50.720 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:01:51.720 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:01:52.720 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:01:53.721 PM, Sep 25, 2022","58,720,288","13,399,440"
"3:01:54.721 PM, Sep 25, 2022","58,720,288","13,399,440"
"3:01:55.721 PM, Sep 25, 2022","58,720,288","13,399,440"
"3:01:56.722 PM, Sep 25, 2022","58,720,288","13,399,440"
"3:01:57.722 PM, Sep 25, 2022","58,720,288","13,399,440"
"3:01:58.722 PM, Sep 25, 2022","58,720,288","13,399,440"
"3:01:59.723 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:00.723 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:01.723 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:02.724 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:03.724 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:04.724 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:05.724 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:06.724 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:07.725 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:08.725 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:09.725 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:10.726 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:11.726 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:12.726 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:13.727 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:14.727 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:15.727 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:16.728 PM, Sep 25, 2022","58,720,288","13,399,440"
"3:02:17.728 PM, Sep 25, 2022","58,720,288","13,399,440"
"3:02:18.728 PM, Sep 25, 2022","58,720,288","13,399,440"
"3:02:19.728 PM, Sep 25, 2022","58,720,288","13,399,440"
"3:02:20.729 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:21.729 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:22.729 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:23.729 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:24.730 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:25.730 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:26.730 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:27.731 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:28.731 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:29.731 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:30.732 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:31.732 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:32.732 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:33.732 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:34.733 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:35.733 PM, Sep 25, 2022","58,720,288","9,205,136"
"3:02:36.733 PM, Sep 25, 2022","58,720,288","13,399,440"
"3:02:37.733 PM, Sep 25, 2022","58,720,288","13,399,440"
"3:02:38.734 PM, Sep 25, 2022","58,720,288","13,399,440"
"3:02:39.734 PM, Sep 25, 2022","58,720,288","9,188,784"
"3:02:40.734 PM, Sep 25, 2022","58,720,288","9,188,784"
"3:02:41.735 PM, Sep 25, 2022","58,720,288","9,188,784"
"3:02:42.735 PM, Sep 25, 2022","58,720,288","9,188,784"
"3:02:43.735 PM, Sep 25, 2022","58,720,288","9,188,784"
"3:02:44.736 PM, Sep 25, 2022","58,720,288","9,188,784"
"3:02:45.736 PM, Sep 25, 2022","58,720,288","9,188,784"
"3:02:46.736 PM, Sep 25, 2022","58,720,288","9,188,784"
"3:02:47.736 PM, Sep 25, 2022","58,720,288","9,188,784"
"3:02:48.737 PM, Sep 25, 2022","58,720,288","9,188,784"
"3:02:49.737 PM, Sep 25, 2022","58,720,288","9,188,784"
"3:02:50.737 PM, Sep 25, 2022","58,720,288","9,188,784"
"3:02:51.737 PM, Sep 25, 2022","289,407,008","65,835,352"
"3:02:52.738 PM, Sep 25, 2022","1,317,011,488","211,239,848"
"3:02:53.738 PM, Sep 25, 2022","1,317,011,488","211,239,848"
"3:02:54.738 PM, Sep 25, 2022","1,317,011,488","211,239,848"
"3:02:55.739 PM, Sep 25, 2022","1,317,011,488","211,239,848"
"3:02:56.739 PM, Sep 25, 2022","1,317,011,488","211,239,848"
"3:02:57.739 PM, Sep 25, 2022","1,317,011,488","211,239,848"
"3:02:58.739 PM, Sep 25, 2022","184,549,408","38,433,232"
"3:02:59.740 PM, Sep 25, 2022","184,549,408","38,433,232"
"3:03:00.740 PM, Sep 25, 2022","184,549,408","38,433,232"
"3:03:01.740 PM, Sep 25, 2022","184,549,408","38,433,232"
"3:03:02.740 PM, Sep 25, 2022","184,549,408","38,433,232"
"3:03:03.741 PM, Sep 25, 2022","184,549,408","38,433,232"
"3:03:04.741 PM, Sep 25, 2022","184,549,408","38,433,232"
"3:03:05.741 PM, Sep 25, 2022","184,549,408","38,433,232"
"3:03:06.742 PM, Sep 25, 2022","184,549,408","38,433,232"
"3:03:07.742 PM, Sep 25, 2022","184,549,408","38,433,232"
"3:03:08.742 PM, Sep 25, 2022","184,549,408","38,433,232"
"3:03:09.742 PM, Sep 25, 2022","184,549,408","38,433,232"
"3:03:10.743 PM, Sep 25, 2022","184,549,408","38,433,232"
"3:03:11.743 PM, Sep 25, 2022","184,549,408","38,433,232"
"3:03:12.743 PM, Sep 25, 2022","184,549,408","63,599,056"
"3:03:13.743 PM, Sep 25, 2022","713,031,712","274,311,280"
"3:03:14.744 PM, Sep 25, 2022","713,031,712","274,311,280"
"3:03:15.744 PM, Sep 25, 2022","713,031,712","274,311,280"
"3:03:16.744 PM, Sep 25, 2022","713,031,712","274,311,280"
"3:03:17.745 PM, Sep 25, 2022","713,031,712","274,311,280"
"3:03:18.745 PM, Sep 25, 2022","713,031,712","274,311,280"
"3:03:19.745 PM, Sep 25, 2022","713,031,712","274,311,280"
"3:03:20.745 PM, Sep 25, 2022","713,031,712","274,311,280"
"3:03:21.746 PM, Sep 25, 2022","226,492,448","38,433,232"
"3:03:22.746 PM, Sep 25, 2022","226,492,448","38,433,232"
"3:03:23.746 PM, Sep 25, 2022","226,492,448","38,433,232"
"3:03:24.747 PM, Sep 25, 2022","226,492,448","38,433,232"
"3:03:25.747 PM, Sep 25, 2022","226,492,448","38,433,232"
"3:03:26.747 PM, Sep 25, 2022","226,492,448","38,433,232"
"3:03:27.747 PM, Sep 25, 2022","226,492,448","38,433,232"
"3:03:28.748 PM, Sep 25, 2022","226,492,448","38,433,232"
"3:03:29.748 PM, Sep 25, 2022","226,492,448","38,433,232"
"3:03:30.748 PM, Sep 25, 2022","226,492,448","38,433,232"
"3:03:31.749 PM, Sep 25, 2022","226,492,448","38,433,232"
"3:03:32.749 PM, Sep 25, 2022","226,492,448","38,433,232"
"3:03:33.749 PM, Sep 25, 2022","226,492,448","63,599,056"
"3:03:34.749 PM, Sep 25, 2022","658,505,760","239,642,160"
"3:03:35.750 PM, Sep 25, 2022","658,505,760","239,642,160"
"3:03:36.750 PM, Sep 25, 2022","658,505,760","239,642,160"
"3:03:37.750 PM, Sep 25, 2022","658,505,760","239,642,160"
"3:03:38.751 PM, Sep 25, 2022","658,505,760","239,642,160"
"3:03:39.751 PM, Sep 25, 2022","658,505,760","239,642,160"
"3:03:40.751 PM, Sep 25, 2022","226,492,448","38,432,232"
"3:03:41.751 PM, Sep 25, 2022","226,492,448","38,432,232"
"3:03:42.752 PM, Sep 25, 2022","226,492,448","38,432,232"
"3:03:43.752 PM, Sep 25, 2022","226,492,448","38,432,232"
"3:03:44.752 PM, Sep 25, 2022","226,492,448","38,432,232"
"3:03:45.753 PM, Sep 25, 2022","226,492,448","38,432,232"
"3:03:46.753 PM, Sep 25, 2022","226,492,448","38,432,232"
"3:03:47.753 PM, Sep 25, 2022","226,492,448","38,432,232"
"3:03:48.754 PM, Sep 25, 2022","226,492,448","38,432,232"
"3:03:49.754 PM, Sep 25, 2022","226,492,448","38,432,232"
"3:03:50.754 PM, Sep 25, 2022","226,492,448","38,432,232"
"3:03:51.754 PM, Sep 25, 2022","226,492,448","38,432,232"
"3:03:52.755 PM, Sep 25, 2022","226,492,448","38,432,232"
"3:03:53.755 PM, Sep 25, 2022","226,492,448","38,432,232"
"3:03:54.755 PM, Sep 25, 2022","226,492,448","63,598,056"
"3:03:55.755 PM, Sep 25, 2022","226,492,448","133,984,296"
"3:03:56.756 PM, Sep 25, 2022","226,492,448","133,984,296"
"3:03:57.756 PM, Sep 25, 2022","226,492,448","133,984,296"
"3:03:58.756 PM, Sep 25, 2022","226,492,448","133,984,296"
"3:03:59.757 PM, Sep 25, 2022","226,492,448","133,984,296"
"3:04:00.757 PM, Sep 25, 2022","226,492,448","133,984,296"
"3:04:01.757 PM, Sep 25, 2022","197,132,320","38,432,240"
"3:04:02.758 PM, Sep 25, 2022","197,132,320","38,432,240"
"3:04:03.758 PM, Sep 25, 2022","197,132,320","38,432,240"
"3:04:04.758 PM, Sep 25, 2022","197,132,320","38,432,240"
"3:04:05.759 PM, Sep 25, 2022","197,132,320","38,432,240"
"3:04:06.759 PM, Sep 25, 2022","197,132,320","38,432,240"
"3:04:07.759 PM, Sep 25, 2022","197,132,320","38,432,240"
"3:04:08.760 PM, Sep 25, 2022","197,132,320","38,432,240"
"3:04:09.760 PM, Sep 25, 2022","197,132,320","38,432,240"
"3:04:10.760 PM, Sep 25, 2022","197,132,320","38,432,240"
"3:04:11.760 PM, Sep 25, 2022","197,132,320","38,432,240"
"3:04:12.761 PM, Sep 25, 2022","197,132,320","38,432,240"
"3:04:13.761 PM, Sep 25, 2022","197,132,320","38,432,240"
"3:04:14.761 PM, Sep 25, 2022","197,132,320","38,432,240"
"3:04:15.762 PM, Sep 25, 2022","478,150,688","147,484,144"
"3:04:16.762 PM, Sep 25, 2022","478,150,688","147,484,144"
"3:04:17.762 PM, Sep 25, 2022","478,150,688","147,484,144"
"3:04:18.762 PM, Sep 25, 2022","478,150,688","147,484,144"
"3:04:19.763 PM, Sep 25, 2022","478,150,688","147,484,144"
"3:04:20.763 PM, Sep 25, 2022","226,492,448","38,432,240"
"3:04:21.763 PM, Sep 25, 2022","226,492,448","38,432,240"
"3:04:22.764 PM, Sep 25, 2022","226,492,448","38,432,240"
"3:04:23.764 PM, Sep 25, 2022","226,492,448","38,432,240"
"3:04:24.764 PM, Sep 25, 2022","226,492,448","38,432,240"
"3:04:25.764 PM, Sep 25, 2022","226,492,448","38,432,240"
"3:04:26.765 PM, Sep 25, 2022","226,492,448","38,432,240"
"3:04:27.765 PM, Sep 25, 2022","226,492,448","38,432,240"
"3:04:28.765 PM, Sep 25, 2022","226,492,448","38,432,240"
"3:04:29.766 PM, Sep 25, 2022","226,492,448","38,432,240"
"3:04:30.766 PM, Sep 25, 2022","226,492,448","38,432,240"
"3:04:31.766 PM, Sep 25, 2022","226,492,448","38,432,240"
"3:04:32.766 PM, Sep 25, 2022","226,492,448","38,432,240"
"3:04:33.767 PM, Sep 25, 2022","226,492,448","38,432,240"
"3:04:34.767 PM, Sep 25, 2022","226,492,448","38,432,240"
"3:04:35.767 PM, Sep 25, 2022","226,492,448","138,945,864"
"3:04:36.767 PM, Sep 25, 2022","226,492,448","138,945,864"
"3:04:37.768 PM, Sep 25, 2022","226,492,448","138,945,864"
"3:04:38.768 PM, Sep 25, 2022","226,492,448","138,945,864"
"3:04:39.768 PM, Sep 25, 2022","226,492,448","138,945,864"
"3:04:40.768 PM, Sep 25, 2022","226,492,448","138,945,864"
